#info;12:02:16.234;44449.50157678241;sensor;1;LIS2HH Accelerometer;accuracy;3
sensor-id;time;excel_time;x;y;z;abs;RoT_or_steps
1;12:02:16.234;44449.50157678241;-4.168;3.734;8.575;10.240;0.000
1;12:02:16.447;44449.501579247684;-2.337;2.270;9.649;10.184;0.000
1;12:02:16.584;44449.501580833334;-2.275;2.459;9.619;10.185;0.000
1;12:02:16.725;44449.50158246528;-2.042;2.273;9.653;10.126;0.000
1;12:02:16.843;44449.50158383102;-2.168;2.227;10.016;10.487;0.000
1;12:02:16.967;44449.5015852662;-1.705;2.233;9.964;10.353;0.000
1;12:02:17.104;44449.50158685185;-0.857;2.767;8.317;8.807;0.000
1;12:02:17.233;44449.50158834491;-2.438;3.434;8.810;9.765;0.000
1;12:02:17.371;44449.50158994213;-1.561;3.992;9.515;10.436;1.000
1;12:02:17.491;44449.50159133102;-0.621;2.046;9.759;9.990;1.000
1;12:02:17.604;44449.50159263889;-1.382;3.125;9.924;10.496;1.000
1;12:02:17.744;44449.50159425926;-1.278;2.430;9.481;9.871;1.000
1;12:02:17.864;44449.50159564815;-2.661;3.181;10.046;10.868;1.000
1;12:02:18.004;44449.50159726852;-1.073;2.306;9.623;9.954;1.000
1;12:02:18.124;44449.50159865741;-1.467;2.292;10.310;10.663;1.000
1;12:02:18.243;44449.501600034724;-1.320;2.119;9.909;10.219;1.000
1;12:02:18.386;44449.501601689815;-1.477;2.533;9.583;10.021;1.000
1;12:02:18.507;44449.50160309028;-0.784;2.146;9.987;10.245;1.000
1;12:02:18.650;44449.50160474537;-1.595;2.807;9.079;9.636;1.000
1;12:02:18.769;44449.501606122685;-1.366;2.437;9.206;9.621;1.000
1;12:02:18.892;44449.50160754629;-1.289;2.781;9.335;9.825;1.000
1;12:02:19.024;44449.501609074076;-1.448;2.094;9.462;9.798;1.000
1;12:02:19.143;44449.50161045139;-1.573;3.027;9.446;10.044;1.000
1;12:02:19.284;44449.50161208333;-0.751;2.474;9.433;9.781;1.000
1;12:02:19.404;44449.501613472225;-0.946;2.718;9.570;9.993;1.000
1;12:02:19.523;44449.501614849534;-1.652;3.366;9.643;10.346;1.000
1;12:02:19.663;44449.501616469905;-0.010;1.971;10.534;10.717;2.000
1;12:02:19.786;44449.50161789352;-0.773;0.553;9.120;9.169;2.000
1;12:02:19.924;44449.50161949074;-0.687;5.153;9.108;10.487;2.000
1;12:02:20.045;44449.5016208912;-1.555;3.641;11.862;12.505;3.000
1;12:02:20.165;44449.50162228009;-0.731;1.396;10.192;10.313;3.000
1;12:02:20.305;44449.50162390046;-0.969;1.728;9.962;10.157;3.000
1;12:02:20.423;44449.5016252662;-1.692;1.070;9.231;9.446;3.000
1;12:02:20.563;44449.50162688657;-1.898;0.980;9.650;9.883;3.000
1;12:02:20.684;44449.501628287035;-1.908;2.134;9.239;9.673;3.000
1;12:02:20.804;44449.50162967593;-2.135;2.289;9.452;9.957;3.000
1;12:02:20.946;44449.50163131944;-2.251;0.981;9.731;10.036;3.000
1;12:02:21.063;44449.50163267361;-2.364;0.519;9.573;9.874;3.000
1;12:02:21.205;44449.50163431713;-2.607;2.511;8.496;9.235;3.000
1;12:02:21.325;44449.50163570602;-1.759;6.458;9.219;11.393;4.000
1;12:02:21.453;44449.501637187495;-1.201;2.347;8.443;8.845;4.000
1;12:02:21.589;44449.501638761576;-0.445;4.287;9.487;10.420;4.000
1;12:02:21.709;44449.50164015046;-0.638;3.654;9.729;10.412;4.000
1;12:02:21.845;44449.501641724535;-1.687;2.711;10.098;10.591;5.000
1;12:02:21.964;44449.50164310185;-0.610;2.266;10.326;10.589;5.000
1;12:02:22.084;44449.50164449074;-1.603;4.112;8.060;9.189;5.000
1;12:02:22.223;44449.50164609954;-1.699;3.290;9.637;10.324;5.000
1;12:02:22.345;44449.50164751157;-2.255;4.129;8.878;10.048;5.000
1;12:02:22.483;44449.501649108795;-2.588;4.455;8.238;9.717;5.000
1;12:02:22.604;44449.501650509264;-1.913;4.873;8.861;10.292;5.000
1;12:02:22.731;44449.50165197917;-1.389;5.421;8.756;10.392;5.000
1;12:02:22.868;44449.50165356482;0.600;5.147;9.385;10.721;6.000
1;12:02:22.992;44449.501655;0.949;5.847;7.680;9.699;6.000
1;12:02:23.126;44449.50165655093;2.208;5.745;8.449;10.453;6.000
1;12:02:23.245;44449.50165792824;2.731;5.246;7.960;9.917;6.000
1;12:02:23.365;44449.50165931713;3.706;3.381;8.328;9.722;6.000
1;12:02:23.503;44449.50166091435;0.800;3.361;10.375;10.935;6.000
1;12:02:23.624;44449.50166231481;-0.269;3.342;9.765;10.324;6.000
1;12:02:23.764;44449.50166393518;-0.970;3.483;9.214;9.898;6.000
1;12:02:23.885;44449.50166533564;-2.062;4.746;8.963;10.350;6.000
1;12:02:24.009;44449.50166677083;-1.784;4.524;9.364;10.551;6.000
1;12:02:24.148;44449.50166837963;-1.411;4.585;8.767;9.993;6.000
1;12:02:24.269;44449.50166978009;-1.545;4.606;8.220;9.548;6.000
1;12:02:24.409;44449.50167140046;-3.289;4.946;8.277;10.188;6.000
1;12:02:24.531;44449.501672812505;-2.441;4.588;8.323;9.812;6.000
1;12:02:24.643;44449.5016741088;-2.161;4.347;9.687;10.835;7.000
1;12:02:24.744;44449.501675277774;-1.374;4.061;9.649;10.558;7.000
1;12:02:24.845;44449.50167644676;-1.621;4.329;9.454;10.523;7.000
1;12:02:24.964;44449.501677824075;-1.354;4.329;9.339;10.382;7.000
1;12:02:25.104;44449.501679444445;-1.216;4.562;8.871;10.049;7.000
1;12:02:25.224;44449.50168083333;-0.913;4.369;9.182;10.209;7.000
1;12:02:25.363;44449.50168244213;-0.550;2.646;12.032;12.332;7.000
1;12:02:25.483;44449.50168383102;2.417;1.341;7.716;8.196;7.000
1;12:02:25.604;44449.50168523148;1.872;0.334;8.885;9.087;7.000
1;12:02:25.744;44449.50168685185;0.303;1.846;9.139;9.328;7.000
1;12:02:25.863;44449.50168822917;-0.513;-0.307;10.989;11.005;8.000
1;12:02:26.004;44449.50168986111;5.489;2.560;9.404;11.186;8.000
1;12:02:26.123;44449.50169123843;-0.744;-0.822;9.085;9.152;8.000
1;12:02:26.244;44449.50169263889;2.954;1.395;7.679;8.345;8.000
1;12:02:26.383;44449.50169424769;1.250;0.256;10.498;10.575;9.000
1;12:02:26.504;44449.50169564815;0.181;-1.753;10.478;10.625;9.000
1;12:02:26.643;44449.50169725694;1.381;-1.394;8.286;8.515;9.000
1;12:02:26.763;44449.501698645836;-1.570;-2.221;10.790;11.127;10.000
1;12:02:26.884;44449.5017000463;-1.316;-0.128;10.007;10.094;10.000
1;12:02:27.027;44449.50170170139;1.919;1.394;10.127;10.401;10.000
1;12:02:27.145;44449.50170306713;1.735;1.987;9.237;9.606;10.000
1;12:02:27.286;44449.50170469907;2.832;2.455;8.713;9.485;10.000
1;12:02:27.406;44449.50170608796;3.771;2.876;8.859;10.049;10.000
1;12:02:27.525;44449.50170746528;2.060;2.618;8.525;9.153;10.000
1;12:02:27.664;44449.50170907407;0.721;1.847;10.339;10.527;11.000
1;12:02:27.784;44449.501710462966;-0.235;2.888;9.388;9.825;11.000
1;12:02:27.924;44449.501712083336;-0.604;2.946;9.456;9.923;11.000
1;12:02:28.044;44449.50171347222;-2.101;2.249;11.985;12.374;11.000
1;12:02:35.636;44449.501801342594;-2.440;2.746;8.597;9.349;11.000
1;12:02:35.760;44449.50180277778;-2.160;2.166;9.643;10.116;11.000
1;12:02:35.887;44449.50180424769;-1.339;2.067;10.474;10.760;12.000
1;12:02:36.007;44449.50180563657;-0.846;2.487;9.816;10.162;12.000
1;12:02:36.128;44449.50180703704;-0.601;2.579;9.713;10.068;12.000
1;12:02:36.268;44449.50180865741;-0.406;2.502;9.814;10.136;12.000
1;12:02:36.389;44449.501810057875;0.316;1.933;10.083;10.271;12.000
1;12:02:36.528;44449.50181166666;0.648;1.859;10.392;10.576;12.000
1;12:02:36.648;44449.501813055555;0.057;2.041;10.327;10.527;12.000
1;12:02:36.775;44449.50181452546;0.187;2.182;10.597;10.821;12.000
1;12:02:36.908;44449.50181606482;0.163;2.388;10.024;10.306;12.000
1;12:02:37.036;44449.5018175463;0.219;2.547;9.817;10.145;12.000
1;12:02:37.167;44449.5018190625;0.074;2.635;9.632;9.986;12.000
1;12:02:37.288;44449.50182046296;-0.065;2.641;9.717;10.069;12.000
1;12:02:37.410;44449.501821875005;-0.141;2.806;9.967;10.355;12.000
1;12:02:37.553;44449.501823530096;0.160;2.831;9.732;10.137;12.000
1;12:02:37.667;44449.50182484953;0.079;2.810;9.237;9.655;12.000
1;12:02:37.807;44449.5018264699;0.129;2.778;9.536;9.933;12.000
1;12:02:37.934;44449.501827939814;0.012;2.925;9.851;10.276;12.000
1;12:02:38.055;44449.50182934028;-0.007;2.899;9.797;10.217;12.000
1;12:02:38.187;44449.50183086806;0.021;3.010;9.722;10.177;12.000
1;12:02:38.314;44449.50183233796;0.056;3.027;9.481;9.953;12.000
1;12:02:38.452;44449.50183393518;0.133;3.172;9.906;10.402;12.000
1;12:02:38.568;44449.50183527778;-0.011;3.154;9.547;10.054;12.000
1;12:02:38.691;44449.50183670138;0.124;3.254;9.570;10.109;12.000
