battery;time;excel time;level [%];voltage;temperature;mixed
battery;12:02:16.298;44449.501577523144;34.000;3.745;27.900;67.000
battery;12:02:17.284;44449.501588935185;34.000;3.745;27.900;67.000
battery;12:02:18.325;44449.5016009838;34.000;3.745;27.900;67.000
battery;12:02:19.291;44449.50161216436;34.000;3.745;27.900;67.000
battery;12:02:20.311;44449.5016239699;34.000;3.745;27.900;67.000
battery;12:02:21.330;44449.50163576389;34.000;3.745;27.900;67.000
battery;12:02:22.406;44449.50164821759;34.000;3.745;27.900;67.000
battery;12:02:23.376;44449.501659444446;34.000;3.745;27.900;67.000
battery;12:02:24.416;44449.501671481485;34.000;3.745;27.900;67.000
battery;12:02:25.429;44449.50168320602;34.000;3.745;27.900;67.000
battery;12:02:26.456;44449.50169509259;34.000;3.745;27.900;67.000
battery;12:02:27.476;44449.50170689815;34.000;3.745;27.900;67.000
battery;12:02:35.705;44449.5018021412;34.000;3.745;27.900;67.000
battery;12:02:36.708;44449.50181375;34.000;3.745;27.900;67.000
battery;12:02:37.743;44449.50182572917;34.000;3.745;27.900;67.000
battery;12:02:38.710;44449.50183692129;34.000;3.745;27.900;67.000
battery;12:02:39.788;44449.50184939815;34.000;3.745;27.900;67.000
battery;12:02:40.775;44449.50186082176;34.000;3.745;27.900;67.000
battery;12:02:41.831;44449.50187304398;34.000;3.745;27.900;67.000
battery;12:02:42.804;44449.50188430556;34.000;3.745;27.900;67.000
battery;12:02:43.900;44449.50189699074;34.000;3.745;27.900;67.000
battery;12:02:44.912;44449.50190870371;34.000;3.745;27.900;67.000
battery;12:02:45.928;44449.501920462964;34.000;3.745;27.900;67.000
battery;12:02:46.916;44449.50193189815;34.000;3.745;27.900;67.000
battery;12:02:47.980;44449.50194421296;34.000;3.745;27.900;67.000
battery;12:02:49.014;44449.50195618055;34.000;3.745;27.900;67.000
battery;12:02:49.951;44449.50196702546;34.000;3.745;27.900;67.000
battery;12:02:56.903;44449.50204748842;34.000;3.745;27.900;67.000
battery;12:02:57.871;44449.50205869213;34.000;3.745;27.900;67.000
battery;12:02:58.956;44449.50207125;34.000;3.745;27.900;67.000
battery;12:02:59.992;44449.50208324074;34.000;3.745;27.900;67.000
battery;12:03:00.949;44449.502094317126;34.000;3.745;27.900;67.000
battery;12:03:01.978;44449.50210622685;34.000;3.745;27.900;67.000
battery;12:03:03.056;44449.502118703705;34.000;3.745;27.900;67.000
battery;12:03:04.028;44449.502129953704;34.000;3.745;27.900;67.000
battery;12:03:05.128;44449.50214268519;34.000;3.745;27.900;67.000
battery;12:03:06.090;44449.50215381944;34.000;3.745;27.900;67.000
battery;12:03:07.116;44449.502165694445;34.000;3.745;27.900;67.000
battery;12:03:08.134;44449.502177476854;34.000;3.745;27.900;67.000
battery;12:03:09.156;44449.50218930555;34.000;3.745;27.900;67.000
battery;12:03:10.173;44449.50220107639;34.000;3.745;27.900;67.000
battery;12:03:11.270;44449.50221377314;34.000;3.745;27.900;67.000
battery;12:03:12.237;44449.50222496528;34.000;3.745;27.900;67.000
battery;12:03:13.305;44449.50223732639;34.000;3.745;27.900;67.000
battery;12:03:14.268;44449.50224847222;34.000;3.745;27.900;67.000
battery;12:03:15.289;44449.50226028935;34.000;3.745;27.900;67.000
battery;12:03:16.330;44449.502272337966;34.000;3.745;27.900;67.000
battery;12:03:17.523;44449.502286145835;34.000;3.745;27.900;67.000
battery;12:03:18.594;44449.502298541665;34.000;3.745;27.900;67.000
battery;12:03:19.612;44449.502310324075;34.000;3.745;27.900;67.000
battery;12:03:20.645;44449.502322280096;34.000;3.745;27.900;67.000
battery;12:03:21.609;44449.5023334375;34.000;3.745;27.900;67.000
battery;12:03:22.785;44449.50234704861;34.000;3.745;27.900;67.000
battery;12:03:23.769;44449.5023584375;34.000;3.745;27.900;67.000
battery;12:03:24.793;44449.50237028935;34.000;3.745;27.900;67.000
battery;12:03:25.872;44449.50238277778;34.000;3.745;27.900;67.000
battery;12:03:26.931;44449.502395034724;34.000;3.745;27.900;67.000
battery;12:03:27.936;44449.50240666667;34.000;3.745;27.900;67.000
battery;12:03:29.224;44449.50242157407;34.000;3.745;27.900;67.000
battery;12:03:30.192;44449.50243277778;34.000;3.745;27.900;67.000
battery;12:03:31.208;44449.502444537036;34.000;3.745;27.900;67.000
battery;12:03:32.226;44449.502456319446;34.000;3.745;27.900;67.000
battery;12:03:33.252;44449.50246819445;34.000;3.745;27.900;67.000
battery;12:03:34.284;44449.50248013889;34.000;3.745;27.900;67.000
battery;12:03:35.310;44449.50249201389;34.000;3.745;27.900;67.000
battery;12:03:36.330;44449.50250381944;34.000;3.745;27.900;67.000
battery;12:03:37.347;44449.50251559028;34.000;3.745;27.900;67.000
battery;12:03:38.371;44449.502527442135;34.000;3.745;27.900;67.000
battery;12:03:39.408;44449.502539444446;34.000;3.745;27.900;67.000
battery;12:03:40.430;44449.50255127315;34.000;3.745;27.900;67.000
battery;12:03:41.452;44449.50256310185;34.000;3.745;27.900;67.000
battery;12:03:42.469;44449.502574872684;34.000;3.745;27.900;67.000
battery;12:03:43.553;44449.50258741898;34.000;3.745;27.900;67.000
battery;12:03:44.580;44449.50259930556;34.000;3.745;27.900;67.000
battery;12:03:45.600;44449.50261111111;34.000;3.745;27.900;67.000
battery;12:03:46.622;44449.50262293981;34.000;3.745;27.900;67.000
battery;12:03:47.706;44449.50263548611;34.000;3.745;27.900;67.000
battery;12:03:48.467;44449.502644293985;33.000;3.733;28.300;67.000
battery;12:03:48.668;44449.50264662037;33.000;3.733;28.300;67.000
battery;12:03:49.747;44449.502659108795;33.000;3.733;28.300;67.000
battery;12:03:50.765;44449.502670891205;33.000;3.733;28.300;67.000
