geo;time;excel time;lon;lat;alt;provider;accuracy;course;speed;distance
geo;12:02:17.381;44449.50159005787;8.69889390;50.11460300;152.800;net;13.538;0.000;0.000;0.000
geo;12:02:26.646;44449.501697291664;8.69890160;50.11460250;152.800;net;13.294;0.000;0.000;0.000
geo;12:02:36.077;44449.50180644676;8.69890150;50.11459310;152.800;net;14.003;0.000;0.000;0.000
geo;12:02:46.689;44449.50192927083;8.69890640;50.11457950;152.800;net;14.259;0.000;0.000;0.000
geo;12:02:57.284;44449.50205189815;8.69889390;50.11454290;152.800;net;15.696;0.000;0.000;0.000
geo;12:03:07.292;44449.50216773148;8.69888700;50.11458960;152.800;net;15.916;0.000;0.000;0.000
geo;12:03:17.485;44449.50228570602;8.69890380;50.11459030;152.800;net;13.804;0.000;0.000;0.000
geo;12:03:23.128;44449.50235101852;8.69896634;50.11459880;8.579;gps;62.176;0.000;0.000;0.000
geo;12:03:24.104;44449.502362314815;8.69897207;50.11459983;10.117;gps;53.600;0.000;0.000;0.000
geo;12:03:25.108;44449.50237393519;8.69893357;50.11460450;-4.251;gps;45.024;0.000;0.000;0.000
geo;12:03:26.133;44449.50238579861;8.69893349;50.11460451;-4.328;gps;45.024;0.000;0.000;0.006
geo;12:03:27.085;44449.50239681713;8.69893312;50.11460446;-3.009;gps;43.952;0.000;0.000;0.033
geo;12:03:27.286;44449.502399143516;8.69889460;50.11461280;152.800;net;15.934;0.000;0.000;0.033
geo;12:03:28.107;44449.50240864583;8.69891767;50.11460806;-5.864;gps;17.152;0.000;0.000;1.204
geo;12:03:29.179;44449.50242105324;8.69891767;50.11460807;-5.997;gps;17.152;0.000;0.000;1.205
geo;12:03:30.131;44449.502432071764;8.69892490;50.11460725;-2.440;gps;17.152;0.000;0.000;1.728
geo;12:03:31.085;44449.50244311342;8.69893156;50.11461266;3.230;gps;19.296;0.000;0.000;2.494
geo;12:03:32.104;44449.50245490741;8.69894116;50.11461222;6.959;gps;20.368;0.000;0.000;3.180
geo;12:03:33.129;44449.502466770835;8.69894108;50.11461221;7.235;gps;22.512;0.000;0.000;3.186
geo;12:03:34.099;44449.50247799768;8.69893765;50.11461268;5.566;gps;23.584;0.000;0.000;3.436
geo;12:03:35.128;44449.502489907405;8.69895609;50.11461748;15.858;gps;20.368;0.000;0.000;4.854
geo;12:03:36.133;44449.50250153935;8.69895780;50.11461780;14.803;gps;21.440;0.000;0.000;4.981
geo;12:03:37.087;44449.50251258102;8.69896328;50.11461669;17.337;gps;21.440;0.000;0.000;5.390
geo;12:03:38.132;44449.502524675925;8.69896443;50.11461683;16.666;gps;20.368;0.000;0.000;5.474
geo;12:03:39.097;44449.502535844906;8.69897380;50.11462186;21.396;gps;17.152;0.000;0.000;6.344
geo;12:03:40.110;44449.50254756944;8.69897586;50.11462228;20.378;gps;18.224;0.000;0.000;6.499
geo;12:03:41.132;44449.50255939815;8.69897493;50.11462243;20.127;gps;19.296;0.000;0.000;6.567
geo;12:03:42.089;44449.502570474535;8.69897921;50.11463006;23.586;gps;16.080;0.000;0.000;7.468
geo;12:03:43.086;44449.50258201388;8.69898209;50.11463102;22.639;gps;16.080;0.000;0.000;7.699
geo;12:03:44.132;44449.50259412037;8.69897981;50.11463115;22.499;gps;18.224;0.000;0.000;7.862
geo;12:03:45.087;44449.502605173606;8.69898100;50.11463158;21.725;gps;19.296;0.000;0.000;7.960
geo;12:03:46.108;44449.502616990736;8.69898107;50.11463152;21.784;gps;21.440;0.000;0.000;7.968
geo;12:03:47.130;44449.50262881945;8.69898269;50.11463190;21.080;gps;21.440;0.000;0.000;8.091
geo;12:03:47.330;44449.50263113426;8.69889420;50.11461870;152.800;net;15.246;0.000;0.000;8.091
geo;12:03:48.087;44449.50263989583;8.69896242;50.11462790;19.843;gps;10.720;0.000;0.000;9.602
geo;12:03:49.105;44449.50265167824;8.69896464;50.11463008;19.906;gps;11.792;0.000;0.000;9.891
geo;12:03:50.125;44449.5026634838;8.69896521;50.11463030;19.344;gps;13.936;0.000;0.000;9.939
geo;12:03:51.131;44449.50267512731;8.69896515;50.11463026;19.412;gps;17.152;0.000;0.000;9.945
geo;12:03:52.092;44449.50268625;8.69896516;50.11463027;19.376;gps;20.368;0.000;0.000;9.946
geo;12:03:53.107;44449.50269799768;8.69896504;50.11463027;19.353;gps;24.656;0.000;0.000;9.955
geo;12:03:54.124;44449.50270976852;8.69896409;50.11463042;19.362;gps;28.944;0.000;0.000;10.025
geo;12:03:55.094;44449.50272099537;8.69896396;50.11463034;19.371;gps;32.160;0.000;0.000;10.037
geo;12:03:56.133;44449.50273302083;8.69896510;50.11463137;20.304;gps;35.376;0.000;0.000;10.178
geo;12:03:57.090;44449.50274409722;8.69896516;50.11463137;20.313;gps;39.664;0.000;0.000;10.182
geo;12:03:58.107;44449.50275586806;8.69896677;50.11463265;20.002;gps;42.880;0.000;0.000;10.365
geo;12:03:59.127;44449.502767673606;8.69896677;50.11463264;20.004;gps;48.240;0.000;0.000;10.366
geo;12:04:00.089;44449.50277880787;8.69896648;50.11463268;20.016;gps;55.744;0.000;0.000;10.387
geo;12:04:01.115;44449.50279068287;8.69896910;50.11463241;19.947;gps;61.104;0.000;0.000;10.576
geo;12:04:02.120;44449.50280231482;8.69897341;50.11463196;19.833;gps;67.536;0.000;0.000;10.887
geo;12:04:03.134;44449.502814050924;8.69897342;50.11463196;19.839;gps;82.544;0.000;0.000;10.888
geo;12:04:04.089;44449.502825104166;8.69897394;50.11463256;20.394;gps;84.688;0.000;0.000;10.964
geo;12:04:05.105;44449.50283686342;8.69897422;50.11463274;20.584;gps;88.976;0.000;0.000;10.992
geo;12:04:06.125;44449.502848668984;8.69897509;50.11463368;21.453;gps;92.192;0.000;0.000;11.114
geo;12:04:07.098;44449.50285993055;8.69897418;50.11463377;21.476;gps;100.768;0.000;0.000;11.180
geo;12:04:07.353;44449.50286288194;8.69888940;50.11462150;151.600;net;14.090;0.000;0.000;11.180
geo;12:04:08.138;44449.50287196759;8.69895668;50.11463078;19.965;gps;39.664;0.000;0.000;12.470
geo;12:04:09.090;44449.50288298611;8.69895668;50.11463078;19.958;gps;41.808;0.000;0.000;12.470
geo;12:04:10.109;44449.50289478009;8.69895647;50.11463067;20.448;gps;39.664;0.000;0.000;12.489
geo;12:04:11.128;44449.502906574075;8.69895657;50.11463073;20.425;gps;37.520;0.000;0.000;12.499
geo;12:04:12.093;44449.502917743055;8.69895709;50.11463072;20.236;gps;35.376;0.000;0.000;12.536
geo;12:04:13.079;44449.50292915509;8.69895705;50.11463054;20.648;gps;31.088;0.000;0.000;12.556
geo;12:04:14.093;44449.50294089121;8.69895710;50.11463058;20.704;gps;28.944;0.000;0.000;12.562
geo;12:04:15.131;44449.502952905095;8.69895710;50.11463058;20.697;gps;28.944;0.000;0.000;12.562
geo;12:04:16.103;44449.502964155094;8.69895734;50.11463081;20.970;gps;31.088;0.000;0.000;12.593
geo;12:04:17.115;44449.502975868054;8.69895685;50.11463066;20.786;gps;28.944;0.000;0.000;12.632
geo;12:04:18.133;44449.50298765046;8.69895705;50.11463085;21.017;gps;30.016;0.000;0.000;12.657
geo;12:04:19.092;44449.50299875;8.69895734;50.11463113;21.346;gps;35.376;0.000;0.000;12.694
geo;12:04:20.112;44449.503010555556;8.69895716;50.11463096;21.363;gps;35.376;0.000;0.000;12.717
geo;12:04:21.132;44449.50302236111;8.69895719;50.11463098;21.357;gps;34.304;0.000;0.000;12.720
geo;12:04:22.094;44449.50303349537;8.69895744;50.11463119;21.612;gps;40.736;0.000;0.000;12.750
geo;12:04:23.133;44449.50304552083;8.69895750;50.11463125;21.684;gps;40.736;0.000;0.000;12.758
geo;12:04:24.098;44449.50305668981;8.69895795;50.11463168;22.198;gps;49.312;0.000;0.000;12.815
geo;12:04:25.105;44449.50306834491;8.69895815;50.11463191;22.461;gps;48.240;0.000;0.000;12.844
geo;12:04:26.136;44449.50308027778;8.69895818;50.11463192;22.454;gps;50.384;0.000;0.000;12.847
geo;12:04:27.096;44449.50309138889;8.69895830;50.11463204;22.738;gps;50.384;0.000;0.000;12.863
geo;12:04:27.354;44449.503094375;8.69888940;50.11461000;152.800;net;14.688;0.000;0.000;12.863
geo;12:04:28.111;44449.50310313657;8.69894760;50.11462816;21.978;gps;18.224;0.000;0.000;13.738
geo;12:04:29.133;44449.50311496528;8.69894773;50.11462829;22.154;gps;19.296;0.000;0.000;13.756
geo;12:04:30.091;44449.50312605324;8.69894773;50.11462829;22.179;gps;19.296;0.000;0.000;13.756
geo;12:04:31.136;44449.50313814815;8.69894789;50.11462843;22.386;gps;21.440;0.000;0.000;13.775
geo;12:04:32.108;44449.50314939815;8.69894817;50.11462870;22.762;gps;24.656;0.000;0.000;13.811
geo;12:04:33.128;44449.5031612037;8.69894812;50.11462869;22.758;gps;28.944;0.000;0.000;13.815
geo;12:04:34.100;44449.503172453704;8.69894826;50.11462884;22.939;gps;33.232;0.000;0.000;13.834
geo;12:04:35.106;44449.50318409722;8.69894825;50.11462885;22.922;gps;36.448;0.000;0.000;13.835
geo;12:04:36.133;44449.503195983794;8.69894821;50.11462907;22.877;gps;35.376;0.000;0.000;13.860
geo;12:04:37.092;44449.50320708333;8.69894821;50.11462907;22.883;gps;34.304;0.000;0.000;13.860
geo;12:04:38.108;44449.5032188426;8.69894831;50.11462915;22.988;gps;31.088;0.000;0.000;13.871
geo;12:04:39.090;44449.503230208335;8.69894832;50.11462915;22.939;gps;25.728;0.000;0.000;13.872
geo;12:04:40.107;44449.50324197917;8.69894866;50.11462943;23.431;gps;24.656;0.000;0.000;13.912
geo;12:04:41.124;44449.50325375;8.69894866;50.11462942;23.367;gps;23.584;0.000;0.000;13.913
geo;12:04:42.086;44449.50326488426;8.69894866;50.11462943;23.430;gps;21.440;0.000;0.000;13.914
geo;12:04:43.106;44449.503276689815;8.69894861;50.11462939;23.709;gps;20.368;0.000;0.000;13.920
geo;12:04:44.067;44449.5032878125;8.69894907;50.11462903;23.896;gps;19.296;0.000;0.000;13.971
geo;12:04:45.092;44449.503299675926;8.69894923;50.11462916;23.955;gps;19.296;0.000;0.000;13.990
