micro;time;excel time;peak;average;RMS
micro;12:02:16.307;44449.501577627314;54.303;38.403;42.071
micro;12:02:16.459;44449.501579386575;37.025;22.361;24.723
micro;12:02:16.590;44449.50158090278;46.527;26.074;28.828
micro;12:02:16.739;44449.501582627316;53.084;30.369;33.221
micro;12:02:16.855;44449.501583969904;62.910;38.357;41.709
micro;12:02:16.978;44449.50158539352;62.110;45.823;48.498
micro;12:02:17.116;44449.50158699074;79.482;55.753;59.561
micro;12:02:17.241;44449.5015884375;85.887;70.170;72.713
micro;12:02:17.379;44449.50159003472;82.931;68.391;70.466
micro;12:02:17.498;44449.50159141204;81.051;66.016;68.120
micro;12:02:17.614;44449.501592754634;73.414;59.658;61.911
micro;12:02:17.759;44449.50159443287;86.805;65.730;69.895
micro;12:02:17.879;44449.501595821755;78.006;56.414;60.468
micro;12:02:18.015;44449.501597395836;83.624;53.434;61.002
micro;12:02:18.141;44449.50159885417;81.754;53.933;61.435
micro;12:02:18.258;44449.50160020833;75.279;52.991;56.228
micro;12:02:18.395;44449.50160179398;61.952;44.097;46.948
micro;12:02:18.515;44449.50160318287;61.959;42.271;45.319
micro;12:02:18.656;44449.50160481481;64.381;49.062;51.578
micro;12:02:18.777;44449.50160621528;78.302;51.974;57.285
micro;12:02:18.897;44449.501607604165;84.315;55.322;62.058
micro;12:02:19.034;44449.501609189814;85.226;63.906;68.746
micro;12:02:19.154;44449.50161057871;86.038;66.655;72.246
micro;12:02:19.291;44449.50161216436;87.154;69.118;73.620
micro;12:02:19.414;44449.50161358796;87.537;62.235;68.765
micro;12:02:19.534;44449.50161497685;87.191;64.693;71.438
micro;12:02:19.675;44449.501616608795;87.034;68.473;72.833
micro;12:02:19.794;44449.50161798611;86.681;70.636;73.265
micro;12:02:19.937;44449.5016196412;83.420;64.957;67.664
micro;12:02:20.049;44449.5016209375;87.112;65.178;69.131
micro;12:02:20.170;44449.501622337964;86.915;73.609;75.991
micro;12:02:20.310;44449.501623958335;87.219;71.345;74.992
micro;12:02:20.429;44449.501625335644;87.640;69.985;72.297
micro;12:02:20.574;44449.50162701389;86.800;70.617;74.018
micro;12:02:20.694;44449.50162840278;86.322;72.397;75.436
micro;12:02:20.814;44449.501629791666;86.759;75.654;77.614
micro;12:02:20.954;44449.50163141204;84.282;69.912;71.980
micro;12:02:21.075;44449.5016328125;84.851;69.846;72.259
micro;12:02:21.212;44449.50163439815;78.681;62.131;65.001
micro;12:02:21.329;44449.50163575231;87.397;67.592;71.524
micro;12:02:21.461;44449.50163728009;84.386;68.316;71.074
micro;12:02:21.597;44449.50163885417;87.449;69.435;73.764
micro;12:02:21.715;44449.50164021991;77.829;60.945;63.255
micro;12:02:21.855;44449.50164184028;87.051;70.235;73.090
micro;12:02:21.973;44449.50164320602;87.352;64.325;69.784
micro;12:02:22.095;44449.50164461805;60.938;43.848;46.463
micro;12:02:22.230;44449.50164618056;60.155;44.167;46.940
micro;12:02:22.356;44449.501647638885;68.906;47.036;50.173
micro;12:02:22.495;44449.501649247686;75.824;47.050;51.808
micro;12:02:22.613;44449.50165061343;64.137;50.799;52.724
micro;12:02:22.736;44449.50165203704;65.689;49.329;51.349
micro;12:02:22.875;44449.50165364583;68.158;49.609;52.847
micro;12:02:22.999;44449.50165508102;61.903;45.789;47.887
micro;12:02:23.131;44449.5016566088;70.171;54.877;56.968
micro;12:02:23.251;44449.50165799768;66.620;53.440;55.556
micro;12:02:23.376;44449.501659444446;69.188;52.517;55.555
micro;12:02:23.514;44449.501661041664;71.515;58.088;60.277
micro;12:02:23.634;44449.50166243056;76.345;60.605;62.670
micro;12:02:23.776;44449.50166407407;73.381;61.911;63.686
micro;12:02:23.895;44449.50166545139;70.839;52.539;55.766
micro;12:02:24.015;44449.50166684028;59.143;41.169;44.156
micro;12:02:24.155;44449.50166846065;70.650;52.734;55.161
micro;12:02:24.276;44449.501669861114;80.822;67.385;69.413
micro;12:02:24.415;44449.50167146991;84.956;65.036;68.786
micro;12:02:24.537;44449.50167288195;62.137;44.242;47.863
micro;12:02:24.652;44449.50167421297;70.323;47.877;51.008
micro;12:02:24.796;44449.50167587963;70.084;52.343;55.863
micro;12:02:24.913;44449.5016772338;60.061;46.865;49.197
micro;12:02:25.054;44449.50167886574;62.671;46.063;48.683
micro;12:02:25.172;44449.50168023148;63.052;47.140;50.073
micro;12:02:25.294;44449.50168164352;73.302;56.009;58.372
micro;12:02:25.428;44449.501683194445;70.092;56.240;58.345
micro;12:02:25.550;44449.50168460648;87.265;57.417;64.434
micro;12:02:25.693;44449.501686261574;87.987;62.072;67.723
micro;12:02:25.807;44449.50168758102;88.044;65.119;69.508
micro;12:02:25.934;44449.50168905093;87.714;74.514;76.627
micro;12:02:26.071;44449.50169063658;81.492;47.810;56.743
micro;12:02:26.194;44449.501692060185;48.755;26.564;30.364
micro;12:02:26.336;44449.5016937037;51.102;26.696;30.864
micro;12:02:26.455;44449.50169508102;49.005;28.007;32.458
micro;12:02:26.577;44449.501696493055;42.671;27.242;29.538
micro;12:02:26.708;44449.50169800926;38.988;26.498;28.515
micro;12:02:26.832;44449.501699444445;37.385;24.676;26.565
micro;12:02:26.974;44449.50170108797;44.190;25.169;27.618
micro;12:02:27.098;44449.50170252315;40.424;27.259;29.110
micro;12:02:27.216;44449.50170388889;35.987;23.186;25.120
micro;12:02:27.353;44449.50170547454;35.563;23.293;25.236
micro;12:02:27.475;44449.50170688657;47.712;25.126;27.755
micro;12:02:27.615;44449.50170850694;36.521;25.034;26.854
micro;12:02:27.734;44449.50170988426;38.790;26.819;28.755
micro;12:02:27.854;44449.501711273144;37.501;24.751;26.724
micro;12:02:27.991;44449.50171285879;39.276;25.102;27.157
micro;12:02:35.779;44449.501802997685;35.417;23.272;25.181
micro;12:02:35.902;44449.50180442129;48.097;25.428;28.730
micro;12:02:36.018;44449.50180576389;35.269;23.335;25.236
micro;12:02:36.137;44449.501807141205;34.964;21.528;23.400
micro;12:02:36.285;44449.50180885417;43.694;28.312;30.515
micro;12:02:36.400;44449.50181018519;55.519;38.999;42.273
micro;12:02:36.543;44449.50181184028;34.648;22.915;24.815
micro;12:02:36.660;44449.501813194445;33.442;22.368;24.174
micro;12:02:36.784;44449.50181462963;34.648;23.494;25.252
micro;12:02:36.921;44449.50181621528;33.255;21.250;23.151
micro;12:02:37.046;44449.501817662036;35.707;21.357;23.389
micro;12:02:37.185;44449.50181927084;33.979;21.574;23.602
micro;12:02:37.293;44449.50182052083;35.987;23.053;25.076
micro;12:02:37.419;44449.50182197917;36.777;25.656;27.472
micro;12:02:37.558;44449.50182358796;38.588;25.221;27.192
micro;12:02:37.686;44449.50182506944;35.563;24.049;25.897
micro;12:02:37.823;44449.50182665509;35.269;23.239;25.336
micro;12:02:37.945;44449.50182806713;37.730;24.284;26.400
micro;12:02:38.061;44449.501829409724;35.563;23.908;25.798
micro;12:02:38.200;44449.50183101852;36.650;24.325;26.238
micro;12:02:38.322;44449.50183243056;35.117;22.894;24.839
micro;12:02:38.458;44449.50183400463;36.650;23.884;25.791
micro;12:02:38.578;44449.501835393516;36.124;23.444;25.351
micro;12:02:38.697;44449.50183677083;34.648;23.086;24.868
micro;12:02:38.842;44449.501838449076;37.147;23.619;25.477
micro;12:02:38.958;44449.50183979167;35.848;24.234;26.185
micro;12:02:39.098;44449.50184141204;37.501;23.411;25.347
micro;12:02:39.221;44449.50184283565;36.391;23.567;25.519
micro;12:02:39.340;44449.501844212966;36.521;24.317;26.204
micro;12:02:39.478;44449.501845810184;39.085;25.876;27.943
micro;12:02:39.600;44449.50184722222;38.276;26.821;28.607
micro;12:02:39.741;44449.50184885417;40.668;26.317;28.394
micro;12:02:39.864;44449.50185027778;36.521;25.103;27.025
micro;12:02:39.978;44449.50185159722;36.777;24.560;26.516
micro;12:02:40.117;44449.50185320602;36.777;23.748;25.711
micro;12:02:40.236;44449.50185458333;36.391;23.374;25.357
micro;12:02:40.379;44449.50185623842;34.486;22.744;24.669
micro;12:02:40.498;44449.501857615745;35.269;23.121;24.951
micro;12:02:40.620;44449.501859027776;35.987;23.111;25.020
micro;12:02:40.759;44449.50186063658;37.147;24.934;26.749
micro;12:02:40.884;44449.50186208333;36.258;24.165;25.995
micro;12:02:41.021;44449.50186366898;35.707;23.653;25.540
micro;12:02:41.139;44449.50186503472;35.707;23.736;25.665
micro;12:02:41.256;44449.50186638889;35.848;23.061;25.062
micro;12:02:41.403;44449.50186809028;36.902;24.019;25.962
micro;12:02:41.519;44449.501869432876;37.616;25.092;26.953
micro;12:02:41.659;44449.501871053246;49.484;27.270;30.400
micro;12:02:41.779;44449.501872442124;39.825;25.506;27.527
micro;12:02:41.899;44449.50187383102;41.138;24.918;26.857
micro;12:02:42.036;44449.50187541667;81.275;38.272;51.180
micro;12:02:42.161;44449.501876863425;36.521;23.809;25.887
micro;12:02:42.299;44449.50187846065;35.563;23.876;25.811
micro;12:02:42.420;44449.50187986111;35.117;22.346;24.275
micro;12:02:42.540;44449.50188125;34.151;22.104;24.056
micro;12:02:42.682;44449.50188289351;36.124;22.247;24.193
micro;12:02:42.797;44449.50188422453;47.310;26.932;29.980
micro;12:02:42.943;44449.50188591435;52.424;28.463;31.522
micro;12:02:43.062;44449.50188729167;35.848;23.669;25.565
micro;12:02:43.179;44449.501888645835;35.417;23.032;24.895
micro;12:02:43.317;44449.50189024306;34.964;23.893;25.487
micro;12:02:43.443;44449.50189170139;36.521;23.364;25.256
micro;12:02:43.586;44449.501893356486;34.151;23.142;25.021
micro;12:02:43.706;44449.50189474537;33.979;22.578;24.338
micro;12:02:43.825;44449.50189612269;36.521;24.283;26.121
micro;12:02:43.964;44449.50189773148;37.730;26.602;28.286
micro;12:02:44.082;44449.501899097224;35.269;24.057;25.879
micro;12:02:44.222;44449.501900717594;35.563;22.593;24.494
micro;12:02:44.333;44449.50190200232;35.269;23.458;25.369
micro;12:02:44.458;44449.50190344907;36.650;23.129;25.136
micro;12:02:44.598;44449.50190506944;36.521;22.960;24.965
micro;12:02:44.718;44449.50190645833;35.563;22.969;24.932
micro;12:02:44.859;44449.50190809028;37.385;23.695;25.709
micro;12:02:44.984;44449.50190953704;35.707;24.183;26.122
micro;12:02:45.096;44449.501910833336;44.350;26.091;28.453
micro;12:02:45.235;44449.50191244213;35.707;24.494;26.213
micro;12:02:45.360;44449.50191388889;38.988;25.207;27.190
micro;12:02:45.502;44449.50191553241;37.147;24.857;26.766
micro;12:02:45.622;44449.5019169213;36.391;22.668;24.855
micro;12:02:45.742;44449.50191831018;36.777;23.052;25.118
micro;12:02:45.884;44449.501919953706;36.124;24.053;25.897
micro;12:02:46.006;44449.501921365736;35.707;24.151;26.050
micro;12:02:46.141;44449.50192292824;38.062;24.734;26.826
micro;12:02:46.261;44449.50192431713;35.563;23.959;25.939
micro;12:02:46.380;44449.50192569444;35.848;22.591;24.487
micro;12:02:46.524;44449.50192736111;35.848;23.556;25.482
micro;12:02:46.633;44449.50192862269;87.432;62.345;67.728
micro;12:02:46.773;44449.50193024306;62.516;39.348;43.914
micro;12:02:46.898;44449.50193168981;46.966;24.847;27.376
micro;12:02:47.025;44449.50193315972;37.025;24.031;25.986
micro;12:02:47.162;44449.50193474537;39.913;26.091;28.023
micro;12:02:47.277;44449.50193607638;39.276;24.987;27.049
micro;12:02:47.415;44449.501937673616;35.417;22.913;24.919
micro;12:02:47.537;44449.50193908565;42.607;26.570;29.061
micro;12:02:47.656;44449.501940462964;36.391;23.514;25.496
